,id,title,author,genre,story,platform
114,114,공주전쟁,Hujing&Luojie,#동화#미녀#판타지#서바이벌#로맨스#금,"장화 신은 고양이가 건넨 환생의 기회! 이름하여 ‘프린세스 서바이벌 게임 사랑과 돈, 새로운 인생! 모든 것을 얻기 위한 동화 속 공주님들의 서바이벌 게임이 시작된다!",탑툰
115,115,슈퍼큐브: 최강 고딩이 되는 법,SLSS,#액션#소년물#성장#판타지#금,"평범한 고등학생 '한태오'는 짝사랑하던 여자애가 자신을 좋아한다는 걸 알게 된다. 그러나, 그녀를 좋아하는 일진에게 찍혀 강에 빠지게 되고, 신비한 큐브를 얻는다. 큐브의 능력이 조금씩 드러나며 그의 일상이 조금씩 뒤틀리는데.. '태오'는 과연 세계 최강 고등학생이 될 수 있을까?!",탑툰
116,116,최강 초능력자가 힘을 숨김,Changpan Warrior,#판타지#액션#판타지#금,"나는 먹이사슬 최하위 계급 초능력자. 우리같은 사람들을 부르는 단어는 여러가지가 있지. 노예, 사회악, 신의 실수 등등. 우리가 대체 무슨 잘못을 했길래 이런 취급을 받아야 해! 이제 숨겨뒀던 힘을 개방할 때가 왔다.",탑툰
117,117,"용서해줘, 제자님",구구&whitecuty&팔삭&이특비사,#소년물#여제자#육성#코믹#액션#무협#금,"수없이 많은 혼세를 넘나들며 인류를 위한 천명을 수행하는 그. 태초의 혼돈 속에서 소생하여 새로운 세계에 재림하였다. 이 세계에서는 누구를 군주로 양성할까… 아니, 남자를 키우는 건 이제 됐어. 이 사부는 귀여운 여제자가 필요하다고! 간단한 소망인데 어째서 이뤄지지 않는 거야?!",탑툰
118,118,대공님에게 빠져버렸습니다,PIMO,#환생#이종족#로맨스#드라마#판타지#금,"""내 삶이 이런 결말이었다면 시작도 안 했어"" 나는 늘 쓸모 있는 사람이 되고 싶었기에, 어디로 가는지도 모르는 채 남들의 말과 시선에 휩쓸려 살아왔다. 내 노력의 대가가 죽음이라면… 이 세상에 아마 신은 없는 것 같다. ""이제부터 네 이름은 에스델이야"" 그렇게 내게 주어진 두 번째 기회. 이 기회마저 놓칠 수 없기에 스스로 변하기로 결심했다. 더 이상은 누군가의 꼭두각시가 아닌, 나로 살겠다고. 이제는 내가 가진 그 무엇도 놓치지 않을 거야. 내 신분, 명예, 그리고... 대공님까지도.",탑툰
119,119,흙수저에서 최강 투신으로,comicloft&열문그룹,#회귀#시스템#소년물#판타지#액션#금,"나... 10년 전으로 회귀했어. 그런데 내가 살던 곳이랑은 좀 다른 것 같다. 이 세상에서는 '무투가'라는 특별한 재능이 존재한다. 그들은 강해질수록 부와 권력을 거머쥘 수 있으며, 무투가가 되기 위해서도 굉장한 노력과 비용이 든다. 그런데 우리집은 가난하단 말이지. 다시 사는 인생이니 좀 출세하고 싶은데… 어렵사리 무투가의 길을 선택한 그에게, 시스템이 나타난다. 최강 투신? 내게는 치트키가 있으니 문제 없어!",탑툰
120,120,로아즈,문원경&감자구라탕,#소년물#성장#SF#판타지#액션#금,우주를 파괴할 수 있는 막강한 에너지를 지닌 외계 로봇 '로아' 그리고 소년병으로 키워진 미래의 지구 소년 '케이' '그들이 펼치는 스페이스 액션 활극',탑툰
121,121,보일러,이동화&정상훈&조라은,#느와르#범죄#정치#드라마#액션#금,"막강한 비선실세가 대통령의 탄핵을 막아낸 시대. 적폐를 외면하고 정의가 사라진 세상에 정계와 재계 그리고 주먹을 가진 세 친구가 반기를 든다. 정치란 세상을 이롭게 하는 것이라는 신념 아래 모인 세 친구, 그들을 짓밟으려는 비선실세와 비밀조직 인혈당의 거대한 암투가 시작된다.",탑툰
122,122,이세계에서 만렙 찍기,모에왕&관이일천,#프로게이머#이세계#소년물#성장#액션#무협#금,연봉 억대의 프로게이머 '이태하'는 게임 세계 속으로 차원이동한다. 그곳에서 신기고지에 봉인 된 '해천현인'이라는 고수를 만나 그의 제자가 된다. '해천현인'을 통해 '이태하'는 천재적인 능력을 발견하게 되고.. '이태하'는 자신의 능력을 발휘할 수 있는 이 세계에서 살기로 결심한다.,탑툰
123,123,시스템 마스터: 레벨 1부터 시작하다,ManDongzuo,#소년물#성장#시스템#판타지#액션#금,"게임 아이템을 만들어 현금 거래를 하며 살아가는 주인공, '이도훈'은 어느 날 악질 사기꾼 폭력배인 '황재범' 일당에게 잡혀 곤욕을 치르게 된다. 그러던 중, 머리를 돌모서리에 찍히게 되면서 ‘시스템’이 그의 몸에 각성하게 되는데…",탑툰
