,title,author,genre,story
32,그 남자가 대신 시집간 사정,글/그림 / 백리군혜 / 131화 완결 / ,BL,"진북왕 군현효는 심지부 딸이 미인이라는 소문을 듣고 첩으로 들이라 명한다. 진북왕의 잔인한 소문을 두려워한 심지부는 벙어리 노비 심옥을 여장시켜 대신 시집을 보낸다. 절세미인인 심옥에게 진북왕이 빠져들어 집착하자, 이를 질투한 왕비는 다양한 계략으로 심옥을 이간질하며 괴롭힌다. 자신을 ‘벙어리’가 아닌 ‘심옥’으로 대해 주는 진북왕을 사랑하게 된 심옥은 비밀을 들키지 않기 위해 왕비의 명을 따르게 된다. 결국 진북왕과 심옥 사이는 점차 갈라서게 되는데……!"
33,창백한 말,글/그림 / 추혜연 / 312화 완결 / ,로판,"1835년 프랑스, 마녀로 불리던 소녀의 핏빛 운명"
34,위험한 본능의 속삭임 컬렉션 [할리퀸],글 / 미셀 레이드 / 캐스린 테일러 / 그림 / 우치다 카즈나 / 타카기 카나 / 204화 완결 / ,로맨스,"내 안에 숨어 있던, 또 다른 나. 위험한 본능의 속삭임 컬렉션 [할리퀸] **작품 구성** 1. 빼앗긴 아내 [개정판] 2. 집시 애인 [개정판] 3. 다이아몬드 하트 [개정판] 4. 정열의 계보 5. 악녀의 진실 [개정판] 6. 잊혀진 약혼자 7. 블랙 벨벳 [개정판] 8. 당신의 상처까지 사랑해 9. 소리 없이 다가오는 악몽 10. 하룻밤의 파문 [개정판] 11. 내가 꿈꾸는 사랑은 12. 완벽한 파트너 -달콤한 엇갈림- 13. 시간의 과실이 익을 때까지 14. 정열의 시간 15. 슬픈 인연 16. 거짓된 얼굴 17. 사랑이라는 이름의 복수 18. 밤바람의 밀회 19. 이별의 날까지 사랑해줘 20. 당신의 키스로 잊고 싶어 [개정판] 21. 포도색 추억 22. 매혹적인 음모 23. 밀려드는 파도처럼 24. 고독한 상속자 25. 과거에서 온 여행자 26. 몇 번의 계절을 지나 1 27. 몇 번의 계절을 지나 2 28. 블라인드 게임 29. 비에 젖은 천사 30. 여신이 속삭이는 밤 31. 사랑을 시험받는 성 32. 여왕이 맺어준 사랑 33. 프린세스의 향기 34. 거침없는 사랑"
35,오리의 왕자님 [웹툰판/개정판],글/그림 / 카자오 / 36화 완결 / ,BL,"다나카 료스케의 인생 전성기는 초등학교 시절. 어른에게는 귀여움을 받고 반에서는 중심이 되던 빛나는 나날이었지만, 그 후 계속 추락해서 현재는 밑바닥을 전전하는 회사원. 그러던 어느 날, 초등학교 시절에는 변변찮았지만 꽃미남 엘리트로 성장한 오오츠키 유즈루와 재회한다. 자신을 반기는 유즈루에게 열등감을 느껴 괴로워하던 료스케. 그런 료스케를 '초등학교 때부터 좋아했다' 라며 유즈루는 고백&키스를 하는데...?!"
36,벚나무 밑에는 그의 사랑이 묻혀 있다 [개정판],글/그림 / 모모카 사피어 / 16화 완결 / ,로맨스,"""누구에게도 주지 않을 거예요, 선생님."" 고신장, 고학력, 고소득. 예로부터 3고를 모두 갖춘 남자와 결혼하기로 굳게 결심한 유우코. 꿈을 향해 매일매일 노력해 왔지만, 30세가 되던 해에 갑자기 남자친구에게 차여버린다. 실연의 충격으로 홧김에 술을 마신 그녀는 벚나무 아래에서 어느 남자를 만나게 되는데…. 일, 연애, 결혼에 지친 당신을 부드럽게 치유해 주는 연하남의 매력을 전해드립니다♡"
37,"아저씨, 내 기분 왜 이래요?",글 / 윤해리 / 그림 / 변합이 / 원작 / Livingston / 82화 완결 / ,로맨스,"꼬였다! 잘나가는 변호사이자 공사 구분 철저한 진도하가 가사도우미 대타를 뛰면서부터. ""나 아저씨 좋아해도 돼요?"" 가족도, 친구도, 애인도 아닌 진도하 앞에서만 해맑게 풀어지는 이 VIP 고객님 때문에. 이 여자 남들에겐 목석이라 불린다는데, 도하에게는 도대체 왜 이럴까?"
38,구원,글/그림 / Axis / 101화 완결 / ,액션,"인류사회의 문제 해결을 위해 만들어진 복제인간 카피! 그들은 빠른 속도로 사회에 퍼져 인간들과 조화를 이루었지만 어느 순간부터 인간들의 공격과 미움을 받기 시작했다. 한편, 삶을 살아가는 이유와 목적을 잃어버린 암살자 동언은 어느 날 생사의 기로에서 카피인 미나를 만난다. 삶에 대한 의지를 찾고, 그녀에 대한 사랑으로 다시 일어서게 된다. 동언이 속해 있던 암살조직, 카피를 타겟으로 폭발하는 사회, 그리고 암흑 속에서 이를 조장하는 지배세력과 이에 맞서는 레지스탕스 세력이 얽혀 벌어지는 치열한 사투! 그 속에서 동언과 미나는 서로밖에 의지할 수 없는 존재로서 사랑에 빠지고 점점 더 거대한 위험을 마주하게 되는데… 동언과 미나, 서로의 존재는 구원이 될 것인가. 그리고 인간들에게 진정한 구원이란 무엇인가."
39,나는 선배에게 안기고 싶어 [개정판],글/그림 / 사이테 케이 / 40화 완결 / ,로맨스,"잊을 수 없어 언제나 꿈에서만 그리던 그 남자, 눈 앞에 나타나면 나도 모르게 상상해버렷♡ 헤어진 지 6년이 지나도록 에노키다 선배의 꿈을 꾸고 있는 히토미. 현실에서는 다시 연락해 볼 용기가 나지 않아 망설이던 그녀 앞에 어느날 홀연히 에노키다 선배가 나타나게 된다!?"
40,나는 천재를 기르고 있다,글/그림 / 나나오 미오 / 56화 완결 / ,로맨스,"""그렇게 고민하지 마, 나의 귀여운 주인님."" 초대형 유명 IT기업의 사장 따님인 이치노세 코노카와 꽃미남 천재 이과남이자 코노카의 소꿉친구인 카이리. 처음에는 작았던 코노카네 아빠의 회사는 카이리가 만든 프로그램 덕분에 일본 유수의 대기업으로 성장한다. 그러나, 자신의 재능을 제공하는 대신 카이리는 세 가지 조건을 내걸고 계약을 맺는데…. 조건1, 반드시 코노카가 카이리에게 (귀엽게) 부탁하며 조를 것. 조건2, 카이리의 재능은 코노카네 아빠와 코노카 외의 사람에게는 비밀로 할 것. 조건3, 보수로 코노카는 카이리가 하는 말을 뭐든 하나 들어줄 것. 세상물정 모르는 순진한 아가씨에게 천재가 놓은 사랑의 함정은 과연…?"
41,로맨티컬 비하인드 [BL],글/그림 / 블구리 / 77화 완결 / ,BL,"#연예계물#아이돌물#다정공#대형견공#리더수#까칠수 짐승돌로 인기 급부상인 얼굴천재, 몸천재 아이돌〈포이즈온〉! 까칠해보이지만 매번 리더몰이 당하는 시현에게는 시현 바라기, 화난 몸 성은과 함께 그 누구에게도 말할 수 없는 비밀이 있다. ＂성은아...우리 이래도 되는 걸까?＂"
